OUI,Manufacturer,Country
D040BE,NPO RPS LLC,RU
10D680,Tendyron Corporation,CN
784946,"Cambridge Mobile Telematics, Inc.",US
003E73,"Mist Systems, Inc.",US
0CFC18,"HUAWEI TECHNOLOGIES CO.,LTD",CN
F44DAD,Cable Matters Inc.,US
80AB4D,Nokia Solutions and Networks GmbH & Co. KG,DE
4CBA7D,"Gemtek Technology Co., Ltd.",TW
500238,"Nokia Shanghai Bell Co., Ltd.",CN
ACAD4B,zte corporation,CN
A8169D,"Hui Zhou Gaoshengda Technology Co.,LTD",CN
F0221D,IEEE Registration Authority,US
9C5440,ChengDu TD Tech,CN
5026EF,"Murata Manufacturing Co., Ltd.",JP
444988,Intel Corporate,MY
FC9189,"Sichuan Tianyi Comheart Telecom Co.,LTD",CN
1C1A1B,"Shanghai Sunmi Technology Co.,Ltd.",CN
8038D4,"Fibercentury Network Technology Co.,Ltd.",CN
7C296F,"Apple, Inc.",US
40EDCF,"Apple, Inc.",US
74057C,Qorvo International Pte. Ltd.,SG
8C986B,"Apple, Inc.",US
1C8682,"Apple, Inc.",US
8054E3,"Apple, Inc.",US
102E00,Intel Corporate,MY
203A43,Intel Corporate,MY
3C3B99,ITEL MOBILE LIMITED,HK
FC3357,"KAGA FEI Co., Ltd.",JP
9CDE4D,"ML vision Co.,LTD",KR
F8F0C5,"Suzhou Kuhan Information Technologies Co.,Ltd.",CN
F8DE73,"HUAWEI TECHNOLOGIES CO.,LTD",CN
EC1A02,"HUAWEI TECHNOLOGIES CO.,LTD",CN
902778,Open Infrastructure,CH
68418F,"Telechips, Inc.",KR
BC9EBB,"Nintendo Co.,Ltd",JP
D009C8,"Cisco Systems, Inc",US
D03957,Liteon Technology Corporation,TW
48E729,Espressif Inc.,CN
E8BAE2,Xplora Technologies AS,NO
5CA06C,"Realme Chongqing Mobile Telecommunications Corp.,Ltd.",CN
A83B76,CLOUD NETWORK TECHNOLOGY SINGAPORE PTE. LTD.,CN
40E11C,"shenzhen Cloud High Communication Technology Co.,Ltd",CN
44643C,"Cisco Systems, Inc",US
24161B,"Cisco Systems, Inc",US
A8400B,Visteon Corporation,US
20318D,Giax GmbH,DE
3CB07E,"Arounds Intelligent Equipment Co., Ltd.",CN
C04E8A,"HUAWEI TECHNOLOGIES CO.,LTD",CN
08569B,WiZ,HK
081AFD,"Huawei Device Co., Ltd.",CN
C0BFAC,"Huawei Device Co., Ltd.",CN
44272E,"Huawei Device Co., Ltd.",CN
106650,Robert Bosch JuP1,MX
A80C03,Florawise,TR
90DAF9,Siemens Rail Automation SAU,ES
F8009D,INTRACOM DEFENSE S.A.,GR
201642,Microsoft Corporation,US
8C946A,"New H3C Technologies Co., Ltd",CN
FC1165,Cambium Networks Limited,GB
CC8DB5,"Shenzhen SuperElectron Technology Co.,Ltd.",CN
ACEE64,"Shenzhen SuperElectron Technology Co.,Ltd.",CN
0012F3,u-blox AG,SE
547068,VTech Communications Limited,HK
C84052,PAX Computer Technology(Shenzhen) Ltd.,CN
68EE4B,"Sharetronic Data Technology Co.,Ltd",CN
48C35A,"LENOVO(BEIJING)CO., LTD.",CN
C461C7,Microsoft Corporation,US
ACCB36,"Fiberhome Telecommunication Technologies Co.,LTD",CN
60706C,"Google, Inc.",US
C82ADD,"Google, Inc.",US
240935,"Samsung Electronics Co.,Ltd",KR
B4DB91,CELESTICA INC.,CA
8407C4,Carrier Corporation,US
C48372,IEEE Registration Authority,US
C0A5E8,Intel Corporate,MY
906584,Intel Corporate,MY
28C5D2,Intel Corporate,MY
E48C73,"Realme Chongqing Mobile Telecommunications Corp.,Ltd.",CN
2CB6C8,"Raisecom Technology CO., LTD",CN
D834D1,"Shenzhen Orange Digital Technology Co.,Ltd",CN
842289,"Samsung Electronics Co.,Ltd",KR
84AAA4,SONoC Corp.,TW
883C93,Alcatel-Lucent Enterprise,US
FCDF00,"GD Midea Air-Conditioning Equipment Co.,Ltd.",CN
E8BFDB,Inodesign Group,FR
287E80,"Hui Zhou Gaoshengda Technology Co.,LTD",CN
0C9F71,"Dolphin Electronics (DongGuan) Co., Ltd.",CN
1C8B76,Calix Inc.,US
745889,Multilaser Industrial S.A.,BR
E8FF98,"Huawei Device Co., Ltd.",CN
241551,"Huawei Device Co., Ltd.",CN
58957E,"Huawei Device Co., Ltd.",CN
2C9452,"HUAWEI TECHNOLOGIES CO.,LTD",CN
6001B1,"HUAWEI TECHNOLOGIES CO.,LTD",CN
B8144D,"Apple, Inc.",US
EC28D3,"Apple, Inc.",US
5CBBEE,zte corporation,CN
086518,"Apple, Inc.",US
2C57CE,"Apple, Inc.",US
80398C,"Samsung Electronics Co.,Ltd",KR
980D6F,"Samsung Electronics Co.,Ltd",KR
1C90FF,Tuya Smart Inc.,US
10823D,"Ruijie Networks Co.,LTD",CN
982044,"New H3C Technologies Co., Ltd",CN
D8A0E8,zte corporation,CN
80563C,ZF,DE
A044F3,RafaelMicro,TW
F42B7D,"Chipsguide technology CO.,LTD.",CN
8C5219,SHARP Corporation,JP
2C9E00,Sony Interactive Entertainment Inc.,JP
DC6AE7,Xiaomi Communications Co Ltd,CN
7CA449,Xiaomi Communications Co Ltd,CN
D0066A,"Cornelis Networks, Inc.",US
883CC5,IEEE Registration Authority,US
C404D8,Aviva Links Inc.,US
AC965B,Lucid Motors,US
089115,Amazon Technologies Inc.,US
74D423,Amazon Technologies Inc.,US
E04735,Ericsson AB,SE
909877,Vestel Elektronik San ve Tic. A.S.,TR
ECA138,Amazon Technologies Inc.,US
E0EF02,"Chengdu Quanjing Intelligent Technology Co.,Ltd",CN
4CA3A7,TECNO MOBILE LIMITED,HK
B067B5,"Apple, Inc.",US
5C5284,"Apple, Inc.",US
C0956D,"Apple, Inc.",US
3C39C8,"Apple, Inc.",US
A8ABB5,"Apple, Inc.",US
5864C4,"Apple, Inc.",US
40A53B,Nokia,CA
74803F,Renesas Electronics (Penang) Sdn. Bhd.,MY
900A62,Inventus Power Eletronica do Brasil LTDA,BR
505FB5,ASKEY COMPUTER CORP,TW
88DE7C,ASKEY COMPUTER CORP,TW
045747,GoPro,US
5C60BA,HP Inc.,US
BCF88B,zte corporation,CN
68539D,EM Microelectronic,CH
0443FD,"Sichuan Tianyi Comheart Telecom Co.,LTD",CN
A4897E,"Guangzhou Yuhong Technology Co.,Ltd.",CN
BCD767,BAE Systems Apllied Intelligence,GB
EC1D9E,"Quectel Wireless Solutions Co.,Ltd.",CN
081A1E,"Shenzhen iComm Semiconductor CO.,LTD",CN
80646F,Espressif Inc.,CN
3CA7AE,zte corporation,CN
AC3184,"Huawei Device Co., Ltd.",CN
503F50,"Huawei Device Co., Ltd.",CN
2C691D,IEEE Registration Authority,US
CC29BD,zte corporation,CN
385CFB,Silicon Laboratories,US
C43D1A,Intel Corporate,MY
04E8B9,Intel Corporate,MY
E02E0B,Intel Corporate,MY
E8CC8C,Chengdu Jiarui Hualian Communication Technology Co,CN
E46564,"SHENZHEN KTC TECHNOLOGY CO.,LTD",CN
3CE064,Texas Instruments,US
E0928F,Texas Instruments,US
CC037B,Texas Instruments,US
581CF8,Intel Corporate,MY
AC198E,Intel Corporate,MY
C85EA9,Intel Corporate,MY
C8BF4C,"Beijing Xiaomi Mobile Software Co., Ltd",CN
7CDE78,"New H3C Technologies Co., Ltd",CN
B8FBAF,"Xiamen IPRT Technology CO.,LTD",CN
348518,Espressif Inc.,CN
E051D8,China Dragon Technology Limited,CN
549A11,IEEE Registration Authority,US
ECE6A2,"Fiberhome Telecommunication Technologies Co.,LTD",CN
AC84C6,"TP-LINK TECHNOLOGIES CO.,LTD.",CN
1C0ED3,"Sichuan Tianyi Comheart Telecom Co.,LTD",CN
380A4F,PRACHI ENTERPRISES,IN
A0CDF3,"Murata Manufacturing Co., Ltd.",JP
AC5AF0,LG Electronics,KR
ECA62F,"HUAWEI TECHNOLOGIES CO.,LTD",CN
0CBEF1,"Huawei Device Co., Ltd.",CN
AC936A,"Huawei Device Co., Ltd.",CN
38A44B,"Huawei Device Co., Ltd.",CN
801970,"Samsung Electronics Co.,Ltd",KR
